Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","8313.737","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8341.532","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8372.663","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","8409.949","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2011","2011","1000 personnes","8453.501","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2004","2004","1000 personnes","8448.946","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2006","2006","1000 personnes","8630.146","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","8724.243","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8821.873","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","8924.388","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","9032.461","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2011","2011","1000 personnes","9146.275","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2004","2004","1000 personnes","318.894","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2006","2006","1000 personnes","331.033","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","337.389","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","343.681","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","349.604","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","354.942","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2011","2011","1000 personnes","359.578","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2004","2004","1000 personnes","829.844","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2006","2006","1000 personnes","958.418","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","1035.919","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1114.641","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","1185.076","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1240.86","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2011","2011","1000 personnes","1278.151","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2004","2004","1000 personnes","136986.432","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2006","2006","1000 personnes","140921.167","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","142660.376","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","144304.167","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","145924.797","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","147575.43","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2011","2011","1000 personnes","149273.139","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2004","2004","1000 personnes","275.284","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2006","2006","1000 personnes","277.477","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2007","2007","1000 personnes","278.7","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","279.946","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2009","2009","1000 personnes","281.104","X","Sources internationales sûres",""
