auteur;genre;ethnie;religion;date_naissance;vivant;orientation_sexuelle
Stewart Lee;Homme;blanc;athee;05-04-1968;Oui;heterosexuel
Susie Essman;Femme;blanc;athee;31-05-1955;Oui;heterosexuel
T. J. Miller;Homme;blanc;athee;04-06-1981;Oui;heterosexuel
Ted Alexandro;Homme;blanc;athee;26-01-1969;Oui;heterosexuel
Tig Notaro;Femme;blanc;athee;24-03-1971;Oui;homosexuel
Tim Allen;Homme;blanc;athee;13-06-1953;Oui;heterosexuel
Tim Minchin;Homme;blanc;athee;07-10-1975;Oui;heterosexuel
Tim Vine;Homme;blanc;athee;07-10-1975;Oui;heterosexuel
Tina Fey;Femme;blanc;athee;18-05-1970;Oui;heterosexuel
Todd Barry;Homme;blanc;athee;26-03-1964;Oui;heterosexuel
Todd Glass;Homme;blanc;juif;16-12-1964;Oui;heterosexuel
Tom Papa;Homme;blanc;athee;10-11-1968;Oui;heterosexuel
Tom Rhodes;Homme;blanc;athee;14-01-1967;Oui;heterosexuel
Tommy Cooper;Homme;blanc;athee;19-03-1921;Non;heterosexuel
Tommy Johnagin;Homme;blanc;athee;25-03-1983;Oui;heterosexuel
Tracy Morgan;Homme;afro-americain;chretien;10-11-1968;Oui;heterosexuel
Wanda Sykes;Femme;afro-americain;athee;07-03-1964;Oui;homosexuel
Whitney Cummings;Femme;blanc;athee;04-09-1982;Oui;heterosexuel
Whoopi Goldberg;Femme;afro-americain;athee;13-11-1955;Oui;heterosexuel
Will Ferrell;Homme;blanc;athee;16-07-1967;Oui;heterosexuel
Woody Allen;Homme;blanc;juif;01-12-1935;Oui;heterosexuel
Yakov Smirnoff;Homme;blanc;juif;24-01-1951;Oui;heterosexuel
Zach Galifianakis;Homme;blanc;athee;01-10-1969;Oui;heterosexuel
